date,tree,chlcont,fvfm,psipd,psimd,psidif,Group,position,canopy
5/26/2021,1,269,0.756,-0.71,-1.29,0.58,High Exposed,high,exposed
5/26/2021,2,250,0.676,-0.85,-1.33,0.48,High Exposed,high,exposed
5/26/2021,3,357,0.745,-0.65,-1.53,0.88,High Exposed,high,exposed
5/26/2021,4,376,0.735,-0.69,-1.4,0.71,High Exposed,high,exposed
5/26/2021,5,288,0.712,-0.65,-1.4,0.75,High Exposed,high,exposed
5/26/2021,6,402,0.738,-0.68,-1.12,0.44,Low Closed Canopy,low,closed
5/26/2021,7,535,0.768,-0.51,-1.05,0.54,Low Closed Canopy,low,closed
5/26/2021,8,440,0.761,-0.53,-1.11,0.58,Low Closed Canopy,low,closed
5/26/2021,10,573,0.764,-0.48,-1.21,0.73,Low Closed Canopy,low,closed
5/26/2021,11,503,0.768,-0.61,-1.18,0.57,High Closed Canopy,high,closed
5/26/2021,12,586,0.787,-0.72,-1.08,0.36,High Closed Canopy,high,closed
5/26/2021,13,598,0.738,-0.56,-1.15,0.59,High Closed Canopy,high,closed
5/26/2021,14,402,0.771,-0.59,-0.89,0.3,High Closed Canopy,high,closed
5/26/2021,15,440,0.763,-0.63,-1.05,0.42,High Closed Canopy,high,closed
6/18/2021,1,357,0.712,-0.68,-1.25,0.57,High Exposed,high,exposed
6/18/2021,2,332,0.604,-0.82,-1.22,0.4,High Exposed,high,exposed
6/18/2021,3,326,0.763,-0.62,-1.41,0.79,High Exposed,high,exposed
6/18/2021,4,307,0.676,-0.66,-1.33,0.67,High Exposed,high,exposed
6/18/2021,5,281,0.734,-0.64,-1.31,0.67,High Exposed,high,exposed
6/18/2021,6,300,0.742,-0.52,-1.12,0.6,Low Closed Canopy,low,closed
6/18/2021,7,294,0.764,-0.47,-1.21,0.74,Low Closed Canopy,low,closed
6/18/2021,8,300,0.71,-0.45,-1.26,0.81,Low Closed Canopy,low,closed
6/18/2021,9,294,0.694,-0.51,-0.98,0.47,Low Closed Canopy,low,closed
6/18/2021,10,274,0.763,-0.4,-0.89,0.49,Low Closed Canopy,low,closed
6/18/2021,11,275,0.767,-0.49,-1.22,0.73,High Closed Canopy,high,closed
6/18/2021,12,288,0.751,-0.42,-1.11,0.69,High Closed Canopy,high,closed
6/18/2021,13,338,0.769,-0.48,-1.29,0.81,High Closed Canopy,high,closed
6/18/2021,14,262,0.648,-0.52,-1.23,0.71,High Closed Canopy,high,closed
6/18/2021,15,472,0.723,-0.49,-1.34,0.85,High Closed Canopy,high,closed
7/14/2021,1,288,0.804,-0.77,-1.44,0.67,High Exposed,high,exposed
7/14/2021,2,389,0.785,-0.84,-1.38,0.54,High Exposed,high,exposed
7/14/2021,3,446,0.802,-0.93,-1.46,0.53,High Exposed,high,exposed
7/14/2021,4,446,0.781,-0.71,-1.55,0.84,High Exposed,high,exposed
7/14/2021,5,465,0.81,-0.69,-1.61,0.92,High Exposed,high,exposed
7/14/2021,6,395,0.782,-0.52,-1.45,0.93,Low Closed Canopy,low,closed
7/14/2021,7,414,0.8,-0.54,-1.44,0.9,Low Closed Canopy,low,closed
7/14/2021,8,516,0.8,-0.57,-1.39,0.82,Low Closed Canopy,low,closed
7/14/2021,9,497,0.786,-0.62,-1.42,0.8,Low Closed Canopy,low,closed
7/14/2021,10,472,0.794,-0.58,-1.28,0.7,Low Closed Canopy,low,closed
7/14/2021,11,491,0.763,-0.48,-1.48,1,High Closed Canopy,high,closed
7/14/2021,12,288,0.807,-0.49,-1.72,1.23,High Closed Canopy,high,closed
7/14/2021,13,554,0.801,-0.72,-1.54,0.82,High Closed Canopy,high,closed
7/14/2021,14,402,0.76,-0.61,-1.71,1.1,High Closed Canopy,high,closed
7/14/2021,15,560,0.784,-0.65,-1.53,0.88,High Closed Canopy,high,closed
8/7/2021,1,357,0.787,-1.01,-1.88,0.87,High Exposed,high,exposed
8/7/2021,2,284,0.772,-1.23,-1.82,0.59,High Exposed,high,exposed
8/7/2021,3,338,0.694,-1.26,-1.91,0.65,High Exposed,high,exposed
8/7/2021,4,385,0.777,-1.08,-1.95,0.87,High Exposed,high,exposed
8/7/2021,5,269,0.758,-1.11,-2.01,0.9,High Exposed,high,exposed
8/7/2021,6,487,0.787,-0.66,-1.53,0.87,Low Closed Canopy,low,closed
8/7/2021,7,434,0.807,-0.74,-1.65,0.91,Low Closed Canopy,low,closed
8/7/2021,8,548,0.78,-0.63,-1.58,0.95,Low Closed Canopy,low,closed
8/7/2021,9,491,0.772,-0.73,-1.56,0.83,Low Closed Canopy,low,closed
8/7/2021,10,478,0.769,-0.59,-1.37,0.78,Low Closed Canopy,low,closed
8/7/2021,11,487,0.79,-0.82,-1.55,0.73,High Closed Canopy,high,closed
8/7/2021,12,434,0.808,-0.79,-1.71,0.92,High Closed Canopy,high,closed
8/7/2021,13,484,0.785,-1.1,-1.7,0.6,High Closed Canopy,high,closed
8/7/2021,14,481,0.794,-1.18,-1.81,0.63,High Closed Canopy,high,closed
8/7/2021,15,503,0.773,-1.12,-1.73,0.61,High Closed Canopy,high,closed
8/30/2021,1,328,0.792,-1.2,-1.65,0.45,High Exposed,high,exposed
8/30/2021,2,308,0.758,-1.35,-1.91,0.56,High Exposed,high,exposed
8/30/2021,3,319,0.788,-1.29,-1.86,0.57,High Exposed,high,exposed
8/30/2021,4,364,0.774,-1.31,-1.81,0.5,High Exposed,high,exposed
8/30/2021,5,352,0.82,-1.35,-1.78,0.43,High Exposed,high,exposed
8/30/2021,6,453,0.752,-0.85,-1.56,0.71,Low Closed Canopy,low,closed
8/30/2021,7,402,0.815,-0.82,-1.49,0.67,Low Closed Canopy,low,closed
8/30/2021,8,510,0.8,-0.65,-1.28,0.63,Low Closed Canopy,low,closed
8/30/2021,9,468,0.8,-0.79,-1.19,0.4,Low Closed Canopy,low,closed
8/30/2021,10,535,0.817,-0.69,-1.38,0.69,Low Closed Canopy,low,closed
8/30/2021,11,548,0.815,-1.01,-1.56,0.55,High Closed Canopy,high,closed
8/30/2021,12,630,0.809,-1.18,-1.62,0.44,High Closed Canopy,high,closed
8/30/2021,13,535,0.795,-1.28,-1.83,0.55,High Closed Canopy,high,closed
8/30/2021,14,408,0.812,-1.32,-1.88,0.56,High Closed Canopy,high,closed
8/30/2021,15,440,0.776,-1.39,-1.93,0.54,High Closed Canopy,high,closed
9/29/2021,1,231,0.751,-1.11,-1.4,0.29,High Exposed,high,exposed
9/29/2021,2,307,0.77,-1.15,-1.69,0.54,High Exposed,high,exposed
9/29/2021,3,262,0.75,-1.18,-1.57,0.39,High Exposed,high,exposed
9/29/2021,4,345,0.739,-1.41,-1.54,0.13,High Exposed,high,exposed
9/29/2021,5,205,0.669,-1.22,-1.71,0.49,High Exposed,high,exposed
9/29/2021,6,427,0.729,-1.12,-1.34,0.22,Low Closed Canopy,low,closed
9/29/2021,7,472,0.785,-0.91,-1.19,0.28,Low Closed Canopy,low,closed
9/29/2021,8,560,0.791,-0.8,-1.23,0.43,Low Closed Canopy,low,closed
9/29/2021,9,414,0.75,-0.95,-1.21,0.26,Low Closed Canopy,low,closed
9/29/2021,10,529,0.197,-1.29,-1.36,0.07,Low Closed Canopy,low,closed
9/29/2021,11,535,0.789,-1.33,-1.57,0.24,High Closed Canopy,high,closed
9/29/2021,12,262,0.794,-1.52,-1.69,0.17,High Closed Canopy,high,closed
9/29/2021,13,535,0.765,-1.51,-1.73,0.22,High Closed Canopy,high,closed
9/29/2021,14,338,0.763,-1.43,-1.71,0.28,High Closed Canopy,high,closed
9/29/2021,15,408,0.761,-1.51,-1.78,0.27,High Closed Canopy,high,closed
11/6/2021,1,231,0.72,-0.86,-0.75,-0.11,High Exposed,high,exposed
11/6/2021,2,224,0.732,-0.65,-0.72,0.07,High Exposed,high,exposed
11/6/2021,3,326,0.687,-0.8,-0.65,-0.15,High Exposed,high,exposed
11/6/2021,4,218,0.671,-0.78,-0.75,-0.03,High Exposed,high,exposed
11/6/2021,5,250,0.668,-0.78,-0.74,-0.04,High Exposed,high,exposed
11/6/2021,6,364,0.702,-0.89,-0.69,-0.2,Low Closed Canopy,low,closed
11/6/2021,7,269,0.796,-0.83,-0.62,-0.21,Low Closed Canopy,low,closed
11/6/2021,8,269,0.793,-0.69,-0.64,-0.05,Low Closed Canopy,low,closed
11/6/2021,9,402,0.739,-0.88,-0.67,-0.21,Low Closed Canopy,low,closed
11/6/2021,10,218,0.797,-0.78,-0.62,-0.16,Low Closed Canopy,low,closed
11/6/2021,11,243,0.784,-0.76,-0.61,-0.15,High Closed Canopy,high,closed
11/6/2021,12,288,0.806,-0.77,-0.78,0.01,High Closed Canopy,high,closed
11/6/2021,13,231,0.777,-0.79,-0.62,-0.17,High Closed Canopy,high,closed
11/6/2021,14,218,0.773,-0.63,-0.71,0.08,High Closed Canopy,high,closed
11/6/2021,15,250,0.75,-0.81,-0.81,0,High Closed Canopy,high,closed
